group,N,gram,count,freq_share,mc_prob,cond_prob,prefix_prob,chain_prob,score_mc,score_chain,score_mix,mix_src
All,1,WR,19769,0.30492187620501904,,,,,,,,
All,1,D,15302,0.23602177903228294,,,,,,,,
All,1,SN,9133,0.14086961886693505,,,,,,,,
All,1,SE,8998,0.1387873459503648,,,,,,,,
All,1,LD,8981,0.1385251338053152,,,,,,,,
All,1,PH,2103,0.0324371847670168,,,,,,,,
All,1,LM,498,0.007681273425570311,,,,,,,,
All,1,E,21,0.0003239091203553746,,,,,,,,
All,1,EM,18,0.0002776363888760354,,,,,,,,
All,1,N,10,0.00015424243826446407,,,,,,,,
Day Leaders,1,WR,303,0.2924710424710425,,,,,,,,
Day Leaders,1,SN,183,0.17664092664092665,,,,,,,,
Day Leaders,1,SE,177,0.17084942084942084,,,,,,,,
Day Leaders,1,LD,160,0.15444015444015444,,,,,,,,
Day Leaders,1,D,155,0.14961389961389962,,,,,,,,
Day Leaders,1,PH,45,0.04343629343629344,,,,,,,,
Day Leaders,1,LM,13,0.012548262548262547,,,,,,,,
Heads,1,D,190,0.29457364341085274,,,,,,,,
Heads,1,WR,190,0.29457364341085274,,,,,,,,
Heads,1,SN,85,0.13178294573643412,,,,,,,,
Heads,1,SE,77,0.11937984496124031,,,,,,,,
Heads,1,LD,73,0.11317829457364341,,,,,,,,
Heads,1,PH,26,0.040310077519379844,,,,,,,,
Heads,1,LM,4,0.006201550387596899,,,,,,,,
Juniors,1,WR,71,0.31004366812227074,,,,,,,,
Juniors,1,SE,46,0.20087336244541484,,,,,,,,
Juniors,1,LD,45,0.1965065502183406,,,,,,,,
Juniors,1,SN,43,0.18777292576419213,,,,,,,,
Juniors,1,D,13,0.056768558951965066,,,,,,,,
Juniors,1,PH,10,0.043668122270742356,,,,,,,,
Juniors,1,LM,1,0.004366812227074236,,,,,,,,
Juniors+,1,WR,463,0.30084470435347627,,,,,,,,
Juniors+,1,SN,281,0.1825860948667966,,,,,,,,
Juniors+,1,SE,278,0.1806367771280052,,,,,,,,
Juniors+,1,LD,258,0.16764132553606237,,,,,,,,
Juniors+,1,D,173,0.11241065627030539,,,,,,,,
Juniors+,1,PH,68,0.044184535412605586,,,,,,,,
Juniors+,1,LM,18,0.011695906432748537,,,,,,,,
Leaders,1,WR,3471,0.30463401790416006,,,,,,,,
Leaders,1,D,2366,0.20765315078111288,,,,,,,,
Leaders,1,SN,1727,0.15157100228190276,,,,,,,,
Leaders,1,SE,1725,0.15139547130068456,,,,,,,,
Leaders,1,LD,1717,0.15069334737581183,,,,,,,,
Leaders,1,PH,286,0.025100930314200458,,,,,,,,
Leaders,1,LM,89,0.007811128664209233,,,,,,,,
Leaders,1,EM,10,0.000877654906090925,,,,,,,,
Leaders,1,E,2,0.000175530981218185,,,,,,,,
Leaders,1,N,1,8.77654906090925e-05,,,,,,,,
Mid-levels,1,WR,1709,0.29987717143358483,,,,,,,,
Mid-levels,1,D,1071,0.18792770661519564,,,,,,,,
Mid-levels,1,SE,908,0.15932619757852254,,,,,,,,
Mid-levels,1,SN,908,0.15932619757852254,,,,,,,,
Mid-levels,1,LD,903,0.1584488506755571,,,,,,,,
Mid-levels,1,PH,164,0.02877697841726619,,,,,,,,
Mid-levels,1,LM,33,0.005790489559571854,,,,,,,,
Mid-levels,1,E,1,0.00017546938059308652,,,,,,,,
