group,N,total,positive,ratio
All,1,6589,6589,1.000000
Leaders,1,455,455,1.000000
Mid-levels,1,2798,2798,1.000000
Newcomers,1,828,828,1.000000
Night,1,6351,6351,1.000000
Seniors,1,1498,1498,1.000000
Unknown,1,106,106,1.000000
All,2,6369,6367,0.999686
Leaders,2,444,379,0.853604
Mid-levels,2,2708,2706,0.999261
Newcomers,2,800,796,0.995000
Night,2,6141,6139,0.999674
Seniors,2,1443,1443,1.000000
Unknown,2,104,95,0.913462
All,3,6156,6050,0.982781
Leaders,3,434,362,0.834101
Mid-levels,3,2621,2542,0.969859
Newcomers,3,772,748,0.968912
Night,3,5938,5836,0.982822
Seniors,3,1391,1374,0.987779
Unknown,3,102,86,0.843137
All,4,5955,5768,0.968598
Leaders,4,425,329,0.774118
Mid-levels,4,2536,2420,0.954259
Newcomers,4,745,692,0.928859
Night,4,5745,5560,0.967798
Seniors,4,1343,1151,0.857036
Unknown,4,100,73,0.730000
All,5,5761,5411,0.939247
Leaders,5,416,268,0.644231
Mid-levels,5,2451,2172,0.886169
Newcomers,5,719,563,0.783032
Night,5,5559,5215,0.938118
Seniors,5,1299,1013,0.779831
Unknown,5,98,55,0.561224
All,6,5575,4813,0.863318
Leaders,6,407,214,0.525799
Mid-levels,6,2373,1883,0.793510
Newcomers,6,694,470,0.677233
Night,6,5381,4637,0.861736
Seniors,6,1255,898,0.715538
Unknown,6,96,32,0.333333
All,7,5395,4173,0.773494
Leaders,7,399,161,0.403509
Mid-levels,7,2299,1617,0.703349
Newcomers,7,669,356,0.532138
Night,7,5209,4012,0.770205
Seniors,7,1211,743,0.613543
Unknown,7,94,25,0.265957
All,8,5226,3537,0.676808
Leaders,8,391,117,0.299233
Mid-levels,8,2231,1314,0.588974
Newcomers,8,643,248,0.385692
Night,8,5048,3393,0.672147
Seniors,8,1169,582,0.497861
Unknown,8,92,14,0.152174
All,9,5060,2873,0.567787
Leaders,9,383,86,0.224543
Mid-levels,9,2164,1048,0.484288
Newcomers,9,618,159,0.257282
Night,9,4890,2766,0.565644
Seniors,9,1129,444,0.393268
Unknown,9,90,7,0.077778
All,10,4903,2271,0.463186
Leaders,10,375,59,0.157333
Mid-levels,10,2101,764,0.363636
Newcomers,10,596,107,0.179530
Night,10,4740,2200,0.464135
Seniors,10,1090,299,0.274312
Unknown,10,88,7,0.079545
All,11,4748,1646,0.346672
Leaders,11,366,36,0.098361
Mid-levels,11,2037,534,0.262150
Newcomers,11,574,59,0.102787
Night,11,4592,1573,0.342552
Seniors,11,1053,201,0.190883
Unknown,11,86,4,0.046512
All,12,4599,1195,0.259839
Leaders,12,357,24,0.067227
Mid-levels,12,1978,372,0.188069
Newcomers,12,554,35,0.063177
Night,12,4450,1152,0.258876
Seniors,12,1015,127,0.125123
Unknown,12,84,2,0.023810
All,13,4452,800,0.179695
Leaders,13,347,17,0.048991
Mid-levels,13,1920,231,0.120313
Newcomers,13,534,22,0.041199
Night,13,4310,773,0.179350
Seniors,13,979,74,0.075587
Unknown,13,82,2,0.024390
All,14,4307,500,0.116090
Leaders,14,337,13,0.038576
Mid-levels,14,1865,147,0.078820
Newcomers,14,514,11,0.021401
Night,14,4172,491,0.117689
Seniors,14,942,45,0.047771
Unknown,14,80,0,0.000000
All,15,4167,322,0.077274
Leaders,15,326,8,0.024540
Mid-levels,15,1811,100,0.055218
Newcomers,15,495,7,0.014141
Night,15,4038,316,0.078257
Seniors,15,908,19,0.020925
Unknown,15,78,0,0.000000
All,16,4033,196,0.048599
Leaders,16,315,7,0.022222
Mid-levels,16,1757,64,0.036426
Newcomers,16,478,4,0.008368
Night,16,3910,193,0.049361
Seniors,16,877,14,0.015964
Unknown,16,76,0,0.000000
All,17,3900,111,0.028462
Leaders,17,304,4,0.013158
Mid-levels,17,1703,34,0.019965
Newcomers,17,461,0,0.000000
Night,17,3782,108,0.028556
Seniors,17,846,8,0.009456
Unknown,17,74,0,0.000000
All,18,3770,76,0.020159
Leaders,18,292,2,0.006849
Mid-levels,18,1652,17,0.010291
Newcomers,18,444,0,0.000000
Night,18,3657,74,0.020235
Seniors,18,815,7,0.008589
Unknown,18,72,0,0.000000
All,19,3643,39,0.010705
Leaders,19,280,0,0.000000
Mid-levels,19,1604,7,0.004364
Newcomers,19,428,0,0.000000
Night,19,3535,37,0.010467
Seniors,19,784,3,0.003827
Unknown,19,70,0,0.000000
All,20,3521,16,0.004544
Leaders,20,268,0,0.000000
Mid-levels,20,1556,4,0.002571
Newcomers,20,416,0,0.000000
Night,20,3417,16,0.004682
Seniors,20,753,0,0.000000
Unknown,20,68,0,0.000000
