group,N,total,positive,ratio
All,1,2287,2287,1.000000
Heads,1,117,117,1.000000
Leaders,1,231,231,1.000000
Mid-levels,1,114,114,1.000000
Newcomers,1,519,519,1.000000
Night,1,1408,1408,1.000000
Seniors,1,544,544,1.000000
Unknown,1,648,648,1.000000
All,2,2133,2132,0.999531
Heads,2,107,106,0.990654
Leaders,2,212,174,0.820755
Mid-levels,2,104,104,1.000000
Newcomers,2,491,388,0.790224
Night,2,1319,1317,0.998484
Seniors,2,512,512,1.000000
Unknown,2,599,599,1.000000
All,3,1989,1912,0.961287
Heads,3,98,89,0.908163
Leaders,3,194,148,0.762887
Mid-levels,3,95,75,0.789474
Newcomers,3,464,364,0.784483
Night,3,1234,1137,0.921394
Seniors,3,481,453,0.941788
Unknown,3,555,510,0.918919
All,4,1855,1620,0.873315
Heads,4,89,67,0.752809
Leaders,4,178,124,0.696629
Mid-levels,4,86,53,0.616279
Newcomers,4,439,326,0.742597
Night,4,1155,923,0.799134
Seniors,4,452,361,0.798673
Unknown,4,515,418,0.811650
All,5,1729,1348,0.779641
Heads,5,81,51,0.629630
Leaders,5,161,87,0.540373
Mid-levels,5,78,36,0.461538
Newcomers,5,416,267,0.641827
Night,5,1081,800,0.740056
Seniors,5,426,279,0.654930
Unknown,5,476,309,0.649160
All,6,1612,1114,0.691067
Heads,6,73,34,0.465753
Leaders,6,146,66,0.452055
Mid-levels,6,71,17,0.239437
Newcomers,6,394,219,0.555838
Night,6,1013,625,0.616979
Seniors,6,402,206,0.512438
Unknown,6,440,231,0.525000
All,7,1503,808,0.537591
Heads,7,66,16,0.242424
Leaders,7,133,46,0.345865
Mid-levels,7,64,10,0.156250
Newcomers,7,373,173,0.463807
Night,7,949,477,0.502634
Seniors,7,379,151,0.398417
Unknown,7,407,147,0.361179
All,8,1400,584,0.417143
Heads,8,59,7,0.118644
Leaders,8,121,27,0.223140
Mid-levels,8,57,4,0.070175
Newcomers,8,354,120,0.338983
Night,8,888,331,0.372748
Seniors,8,356,75,0.210674
Unknown,8,376,103,0.273936
All,9,1303,397,0.304682
Heads,9,53,5,0.094340
Leaders,9,111,14,0.126126
Mid-levels,9,51,0,0.000000
Newcomers,9,335,76,0.226866
Night,9,830,213,0.256627
Seniors,9,333,37,0.111111
Unknown,9,347,51,0.146974
All,10,1216,245,0.201480
Heads,10,47,2,0.042553
Leaders,10,104,6,0.057692
Mid-levels,10,45,0,0.000000
Newcomers,10,318,36,0.113208
Night,10,779,141,0.181001
Seniors,10,312,12,0.038462
Unknown,10,320,30,0.093750
All,11,1134,142,0.125220
Heads,11,42,0,0.000000
Leaders,11,97,2,0.020619
Mid-levels,11,40,0,0.000000
Newcomers,11,303,24,0.079208
Night,11,731,82,0.112175
Seniors,11,291,2,0.006873
Unknown,11,294,19,0.064626
All,12,1057,55,0.052034
Heads,12,37,0,0.000000
Leaders,12,91,0,0.000000
Mid-levels,12,35,0,0.000000
Newcomers,12,288,15,0.052083
Night,12,686,35,0.051020
Seniors,12,272,0,0.000000
Unknown,12,268,7,0.026119
All,13,983,26,0.026450
Heads,13,33,0,0.000000
Leaders,13,84,0,0.000000
Mid-levels,13,31,0,0.000000
Newcomers,13,273,8,0.029304
Night,13,642,21,0.032710
Seniors,13,254,0,0.000000
Unknown,13,243,1,0.004115
All,14,918,9,0.009804
Heads,14,30,0,0.000000
Leaders,14,79,0,0.000000
Mid-levels,14,27,0,0.000000
Newcomers,14,258,2,0.007752
Night,14,603,8,0.013267
Seniors,14,239,0,0.000000
Unknown,14,221,1,0.004525
All,15,856,0,0.000000
Heads,15,27,0,0.000000
Leaders,15,74,0,0.000000
Mid-levels,15,24,0,0.000000
Newcomers,15,243,0,0.000000
Night,15,566,0,0.000000
Seniors,15,225,0,0.000000
Unknown,15,200,0,0.000000
All,16,796,0,0.000000
Heads,16,24,0,0.000000
Leaders,16,69,0,0.000000
Mid-levels,16,21,0,0.000000
Newcomers,16,228,0,0.000000
Night,16,529,0,0.000000
Seniors,16,211,0,0.000000
Unknown,16,181,0,0.000000
All,17,743,0,0.000000
Heads,17,21,0,0.000000
Leaders,17,65,0,0.000000
Mid-levels,17,18,0,0.000000
Newcomers,17,213,0,0.000000
Night,17,496,0,0.000000
Seniors,17,200,0,0.000000
Unknown,17,165,0,0.000000
All,18,693,0,0.000000
Heads,18,18,0,0.000000
Leaders,18,60,0,0.000000
Mid-levels,18,16,0,0.000000
Newcomers,18,198,0,0.000000
Night,18,464,0,0.000000
Seniors,18,190,0,0.000000
Unknown,18,151,0,0.000000
All,19,645,0,0.000000
Heads,19,15,0,0.000000
Leaders,19,55,0,0.000000
Mid-levels,19,14,0,0.000000
Newcomers,19,184,0,0.000000
Night,19,433,0,0.000000
Seniors,19,180,0,0.000000
Unknown,19,138,0,0.000000
All,20,599,0,0.000000
Heads,20,12,0,0.000000
Leaders,20,51,0,0.000000
Mid-levels,20,12,0,0.000000
Newcomers,20,170,0,0.000000
Night,20,403,0,0.000000
Seniors,20,170,0,0.000000
Unknown,20,126,0,0.000000
