group,N,total,positive,ratio
All,1,2853,2853,1.000000
Leaders,1,476,476,1.000000
Newcomers,1,365,365,1.000000
Night,1,1152,1152,1.000000
Unknown,1,1701,1701,1.000000
All,2,2705,2702,0.998891
Leaders,2,461,461,1.000000
Newcomers,2,350,244,0.697143
Night,2,1107,937,0.846432
Unknown,2,1598,1595,0.998123
All,3,2566,2506,0.976617
Leaders,3,446,424,0.950673
Newcomers,3,336,256,0.761905
Night,3,1064,889,0.835526
Unknown,3,1502,1465,0.975366
All,4,2431,2295,0.944056
Leaders,4,431,356,0.825986
Newcomers,4,322,231,0.717391
Night,4,1021,898,0.879530
Unknown,4,1410,1301,0.922695
All,5,2298,2022,0.879896
Leaders,5,416,275,0.661058
Newcomers,5,308,178,0.577922
Night,5,978,738,0.754601
Unknown,5,1320,1088,0.824242
All,6,2172,1685,0.775783
Leaders,6,401,210,0.523691
Newcomers,6,294,163,0.554422
Night,6,935,653,0.698396
Unknown,6,1237,862,0.696847
All,7,2049,1387,0.676916
Leaders,7,387,155,0.400517
Newcomers,7,280,116,0.414286
Night,7,894,500,0.559284
Unknown,7,1155,670,0.580087
All,8,1936,1086,0.560950
Leaders,8,373,107,0.286863
Newcomers,8,268,92,0.343284
Night,8,856,405,0.473131
Unknown,8,1080,487,0.450926
All,9,1825,811,0.444384
Leaders,9,359,60,0.167131
Newcomers,9,256,70,0.273438
Night,9,818,284,0.347188
Unknown,9,1007,343,0.340616
All,10,1716,596,0.347319
Leaders,10,345,34,0.098551
Newcomers,10,243,40,0.164609
Night,10,779,172,0.220796
Unknown,10,937,242,0.258271
All,11,1614,378,0.234201
Leaders,11,333,12,0.036036
Newcomers,11,230,27,0.117391
Night,11,742,103,0.138814
Unknown,11,872,159,0.182339
All,12,1515,262,0.172937
Leaders,12,321,7,0.021807
Newcomers,12,214,18,0.084112
Night,12,703,67,0.095306
Unknown,12,812,95,0.116995
All,13,1423,162,0.113844
Leaders,13,310,2,0.006452
Newcomers,13,200,13,0.065000
Night,13,667,40,0.059970
Unknown,13,756,57,0.075397
All,14,1335,91,0.068165
Leaders,14,300,0,0.000000
Newcomers,14,187,7,0.037433
Night,14,632,18,0.028481
Unknown,14,703,33,0.046942
All,15,1254,47,0.037480
Leaders,15,290,0,0.000000
Newcomers,15,175,2,0.011429
Night,15,599,10,0.016694
Unknown,15,655,18,0.027481
All,16,1177,27,0.022940
Leaders,16,281,0,0.000000
Newcomers,16,163,0,0.000000
Night,16,566,2,0.003534
Unknown,16,611,10,0.016367
All,17,1105,16,0.014480
Leaders,17,272,0,0.000000
Newcomers,17,151,0,0.000000
Night,17,534,2,0.003745
Unknown,17,571,8,0.014011
All,18,1036,12,0.011583
Leaders,18,263,0,0.000000
Newcomers,18,140,0,0.000000
Night,18,504,2,0.003968
Unknown,18,532,4,0.007519
All,19,969,5,0.005160
Leaders,19,254,0,0.000000
Newcomers,19,129,0,0.000000
Night,19,475,2,0.004211
Unknown,19,494,0,0.000000
All,20,906,3,0.003311
Leaders,20,245,0,0.000000
Newcomers,20,118,0,0.000000
Night,20,447,2,0.004474
Unknown,20,459,0,0.000000
