group,N,total,positive,ratio
All,1,64833,64833,1.000000
Day Leaders,1,1036,1036,1.000000
Heads,1,645,645,1.000000
Juniors,1,229,229,1.000000
Juniors+,1,1539,1539,1.000000
Leaders,1,11394,11394,1.000000
Mid-levels,1,5699,5699,1.000000
New hires,1,127,127,1.000000
Newcomers,1,6899,6899,1.000000
Newcomers+,1,1658,1658,1.000000
Night,1,40932,40932,1.000000
Night Leaders,1,826,826,1.000000
Seniors,1,3532,3532,1.000000
Seniors1,1,593,593,1.000000
Weekend Leaders,1,608,608,1.000000
Unknown,1,20387,20387,1.000000
All,2,61294,61294,1.000000
Day Leaders,2,955,955,1.000000
Heads,2,620,620,1.000000
Juniors,2,213,212,0.995305
Juniors+,2,1423,1423,1.000000
Leaders,2,10898,10897,0.999908
Mid-levels,2,5472,5469,0.999452
New hires,2,119,118,0.991597
Newcomers,2,6601,6599,0.999697
Newcomers+,2,1537,1537,1.000000
Night,2,39179,39179,1.000000
Night Leaders,2,761,761,1.000000
Seniors,2,3381,3381,1.000000
Seniors1,2,550,527,0.958182
Weekend Leaders,2,565,565,1.000000
Unknown,2,18847,18847,1.000000
All,3,58055,58043,0.999793
Day Leaders,3,882,850,0.963719
Heads,3,596,530,0.889262
Juniors,3,198,185,0.934343
Juniors+,3,1317,1296,0.984055
Leaders,3,10434,10174,0.975081
Mid-levels,3,5265,5238,0.994872
New hires,3,111,93,0.837838
Newcomers,3,6331,6242,0.985942
Newcomers+,3,1426,1405,0.985273
Night,3,37548,37532,0.999574
Night Leaders,3,702,671,0.955840
Seniors,3,3238,3225,0.995985
Seniors1,3,511,457,0.894325
Weekend Leaders,3,526,477,0.906844
Unknown,3,17459,17441,0.998969
All,4,55043,54851,0.996512
Day Leaders,4,818,699,0.854523
Heads,4,571,461,0.807356
Juniors,4,184,117,0.635870
Juniors+,4,1222,1092,0.893617
Leaders,4,9991,9495,0.950355
Mid-levels,4,5066,4898,0.966838
New hires,4,104,73,0.701923
Newcomers,4,6074,5665,0.932664
Newcomers+,4,1326,1187,0.895173
Night,4,36003,35717,0.992056
Night Leaders,4,649,525,0.808937
Seniors,4,3106,3030,0.975531
Seniors1,4,475,395,0.831579
Weekend Leaders,4,490,390,0.795918
Unknown,4,16194,16044,0.990737
All,5,52181,51042,0.978172
Day Leaders,5,761,539,0.708279
Heads,5,547,381,0.696527
Juniors,5,173,94,0.543353
Juniors+,5,1140,860,0.754386
Leaders,5,9561,8656,0.905345
Mid-levels,5,4869,4386,0.900801
New hires,5,97,38,0.391753
Newcomers,5,5831,5202,0.892128
Newcomers+,5,1239,950,0.766747
Night,5,34518,32833,0.951185
Night Leaders,5,603,397,0.658375
Seniors,5,2985,2585,0.865997
Seniors1,5,442,297,0.671946
Weekend Leaders,5,458,293,0.639738
Unknown,5,14996,14422,0.961723
All,6,49524,46773,0.944451
Day Leaders,6,711,410,0.576653
Heads,6,526,303,0.576046
Juniors,6,165,70,0.424242
Juniors+,6,1072,677,0.631530
Leaders,6,9147,7795,0.852192
Mid-levels,6,4691,3818,0.813899
New hires,6,91,21,0.230769
Newcomers,6,5601,4616,0.824139
Newcomers+,6,1166,779,0.668096
Night,6,33098,30402,0.918545
Night Leaders,6,561,323,0.575758
Seniors,6,2866,2128,0.742498
Seniors1,6,411,196,0.476886
Weekend Leaders,6,428,239,0.558411
Unknown,6,13916,12659,0.909672
All,7,47018,41835,0.889766
Day Leaders,7,667,286,0.428786
Heads,7,506,196,0.387352
Juniors,7,157,60,0.382166
Juniors+,7,1012,508,0.501976
Leaders,7,8754,6923,0.790838
Mid-levels,7,4520,3250,0.719027
New hires,7,85,16,0.188235
Newcomers,7,5374,4052,0.754001
Newcomers+,7,1101,586,0.532243
Night,7,31732,27269,0.859353
Night Leaders,7,525,216,0.411429
Seniors,7,2750,1737,0.631636
Seniors1,7,382,118,0.308901
Weekend Leaders,7,403,151,0.374690
Unknown,7,12922,10813,0.836790
All,8,44684,36429,0.815258
Day Leaders,8,627,190,0.303030
Heads,8,486,111,0.228395
Juniors,8,150,47,0.313333
Juniors+,8,957,378,0.394984
Leaders,8,8387,5802,0.691785
Mid-levels,8,4360,2606,0.597706
New hires,8,79,4,0.050633
Newcomers,8,5155,3332,0.646363
Newcomers+,8,1041,426,0.409222
Night,8,30437,23989,0.788153
Night Leaders,8,492,127,0.258130
Seniors,8,2637,1275,0.483504
Seniors1,8,357,76,0.212885
Weekend Leaders,8,380,84,0.221053
Unknown,8,12017,8917,0.742032
All,9,42469,31385,0.739010
Day Leaders,9,593,131,0.220911
Heads,9,469,68,0.144989
Juniors,9,143,37,0.258741
Juniors+,9,908,289,0.318282
Leaders,9,8036,4620,0.574913
Mid-levels,9,4204,2000,0.475737
New hires,9,74,0,0.000000
Newcomers,9,4944,2594,0.524676
Newcomers+,9,988,318,0.321862
Night,9,29183,20593,0.705651
Night Leaders,9,464,82,0.176724
Seniors,9,2526,920,0.364212
Seniors1,9,332,44,0.132530
Weekend Leaders,9,360,55,0.152778
Unknown,9,11179,7107,0.635746
All,10,40380,26012,0.644180
Day Leaders,10,562,85,0.151246
Heads,10,451,39,0.086475
Juniors,10,136,26,0.191176
Juniors+,10,862,203,0.235499
