n,gram,base_gram_mean_count,found_gram_count,manual_q1_q3,manual_median,found_prob,diff_from_iqr
2,D,WR,19.333333,37,0.105015–0.117922,0.116279,0.198925,0.081003
2,WR,PH,2.333333,11,0.011249–0.012758,0.011628,0.059140,0.046381
2,PH,D,3.000000,11,0.012379–0.018572,0.013889,0.059140,0.040567
2,SN,WR,6.333333,0,0.026688–0.052578,0.029070,0.000000,0.026688
2,WR,LD,4.666667,0,0.023781–0.028457,0.024306,0.000000,0.023781
2,LD,SE,5.666667,0,0.023215–0.052578,0.029070,0.000000,0.023215
2,D,LD,2.666667,0,0.012193–0.025025,0.017442,0.000000,0.012193
2,PH,PH,2.333333,0,0.008342–0.014115,0.010870,0.000000,0.008342
2,SN,SN,2.666667,0,0.005814–0.016231,0.011628,0.000000,0.005814
2,D,LM,1.333333,0,0.005208–0.010643,0.010417,0.000000,0.005208
