n,gram,base_gram_mean_count,found_gram_count,manual_q1_q3,manual_median,found_prob,diff_from_iqr
1,PH,81.083333,96,0.023649–0.026847,0.024366,0.036199,0.009352
1,WR,1005.083333,798,0.302592–0.311094,0.304542,0.300905,0.001687
1,D,544.666667,414,0.157376–0.179503,0.166093,0.156109,0.001267
1,SE,502.000000,396,0.139776–0.164834,0.156799,0.149321,0.000000
1,LD,498.250000,396,0.138180–0.164757,0.152400,0.149321,0.000000
1,SN,501.666667,378,0.140201–0.165082,0.156175,0.142534,0.000000
1,N,62.833333,84,0.003707–0.032279,0.012948,0.031674,0.000000
1,E,63.583333,72,0.007677–0.033214,0.012399,0.027149,0.000000
1,LM,20.000000,18,0.004516–0.007068,0.005899,0.006787,0.000000
1,EM,1.500000,0,0.000000–0.000083,0.000000,0.000000,0.000000
