n,gram,base_gram_mean_count,found_gram_count,manual_q1_q3,manual_median,found_prob,diff_from_iqr
2,LD,WR,109.071429,187,0.031701–0.039890,0.037135,0.061231,0.021341
2,WR,D,226.500000,297,0.063138–0.080088,0.073166,0.097250,0.017162
2,SN,SE,65.285714,0,0.017027–0.025492,0.020659,0.000000,0.017027
2,WR,WR,293.785714,320,0.076976–0.087851,0.082359,0.104781,0.016930
2,LD,LD,77.285714,6,0.015581–0.024116,0.019407,0.001965,0.013616
2,WR,SE,96.714286,153,0.028399–0.037709,0.031926,0.050098,0.012389
2,D,WR,134.357143,187,0.038703–0.051238,0.043695,0.061231,0.009994
2,WR,PH,21.428571,55,0.004962–0.008085,0.006689,0.018009,0.009924
2,LD,D,38.571429,6,0.009512–0.015559,0.010899,0.001965,0.007548
2,PH,D,17.642857,38,0.004956–0.006293,0.005484,0.012443,0.006150
