n,gram,base_gram_mean_count,found_gram_count,manual_q1_q3,manual_median,found_prob,diff_from_iqr
2,WR,D,221.083333,266,0.063035–0.080281,0.073941,0.102151,0.021870
2,SN,SE,71.333333,0,0.018901–0.028343,0.021974,0.000000,0.018901
2,D,WR,141.416667,184,0.042060–0.052745,0.045110,0.070661,0.017916
2,LD,WR,127.166667,163,0.038062–0.044861,0.040220,0.062596,0.017735
2,WR,WR,329.750000,327,0.082778–0.108211,0.092530,0.125576,0.017365
2,LD,LD,88.500000,6,0.019479–0.025825,0.021220,0.002304,0.017174
2,SE,SN,466.000000,324,0.140650–0.165285,0.156690,0.124424,0.016226
2,WR,PH,23.083333,59,0.005776–0.008959,0.007056,0.022657,0.013699
2,LD,D,42.416667,0,0.010515–0.016434,0.011972,0.000000,0.010515
2,LD,SE,220.916667,135,0.060992–0.081066,0.068901,0.051843,0.009149
