n,gram,base_gram_mean_count,found_gram_count,manual_q1_q3,manual_median,found_prob,diff_from_iqr
2,N,N,3.416667,1,0.000000–0.000000,0.000000,1.000000,1.000000
2,SE,SN,464.416667,0,0.134422–0.162064,0.150063,0.000000,0.134422
2,SN,WR,365.416667,0,0.102896–0.129190,0.118068,0.000000,0.102896
2,WR,LD,300.083333,0,0.086648–0.107558,0.091021,0.000000,0.086648
2,WR,WR,310.333333,0,0.076357–0.088460,0.082359,0.000000,0.076357
2,WR,D,220.583333,0,0.061890–0.077913,0.071098,0.000000,0.061890
2,D,D,253.250000,0,0.061107–0.087699,0.077705,0.000000,0.061107
2,LD,SE,218.250000,0,0.056163–0.080280,0.065740,0.000000,0.056163
2,D,WR,133.500000,0,0.037638–0.046799,0.042974,0.000000,0.037638
2,LD,WR,119.250000,0,0.034611–0.040665,0.037431,0.000000,0.034611
2,WR,SE,108.083333,0,0.029150–0.038555,0.032282,0.000000,0.029150
2,D,LD,83.083333,0,0.022547–0.028407,0.024799,0.000000,0.022547
2,SN,SE,71.000000,0,0.018122–0.026241,0.021700,0.000000,0.018122
2,LD,LD,88.166667,0,0.017723–0.025365,0.019748,0.000000,0.017723
2,D,SE,46.833333,0,0.013035–0.016077,0.014044,0.000000,0.013035
2,LD,D,42.250000,0,0.010055–0.015773,0.011469,0.000000,0.010055
2,WR,PH,22.333333,0,0.005657–0.008122,0.006689,0.000000,0.005657
2,PH,D,17.500000,0,0.004819–0.005803,0.005303,0.000000,0.004819
2,SN,PH,20.166667,0,0.004811–0.007957,0.006110,0.000000,0.004811
2,PH,LD,17.750000,0,0.004809–0.006641,0.005753,0.000000,0.004809
2,PH,WR,17.083333,0,0.004016–0.006534,0.004738,0.000000,0.004016
2,E,N,54.750000,0,0.003247–0.028321,0.011945,0.000000,0.003247
2,N,WR,41.250000,0,0.003061–0.020428,0.008186,0.000000,0.003061
2,PH,SE,10.000000,0,0.002606–0.003836,0.003096,0.000000,0.002606
2,PH,PH,13.333333,0,0.002547–0.004945,0.003992,0.000000,0.002547
2,D,PH,10.666667,0,0.002456–0.004263,0.004017,0.000000,0.002456
2,WR,E,25.500000,0,0.002449–0.013060,0.005476,0.000000,0.002449
2,LD,PH,9.583333,0,0.002387–0.003375,0.002817,0.000000,0.002387
2,WR,LM,8.166667,0,0.001841–0.003236,0.002397,0.000000,0.001841
2,LM,WR,7.083333,0,0.001473–0.002829,0.002058,0.000000,0.001473
