n,gram,base_gram_mean_count,found_gram_count,manual_q1_q3,manual_median,found_prob,diff_from_iqr
2,WR,D,220.583333,256,0.061890–0.077913,0.071098,0.105090,0.027177
2,SN,SE,71.000000,0,0.018122–0.026241,0.021700,0.000000,0.018122
2,LD,LD,88.166667,6,0.017723–0.025365,0.019748,0.002463,0.015260
2,LD,WR,119.250000,135,0.034611–0.040665,0.037431,0.055419,0.014753
2,WR,PH,22.333333,54,0.005657–0.008122,0.006689,0.022167,0.014046
2,PH,WR,17.083333,50,0.004016–0.006534,0.004738,0.020525,0.013992
2,LD,D,42.250000,0,0.010055–0.015773,0.011469,0.000000,0.010055
2,WR,WR,310.333333,238,0.076357–0.088460,0.082359,0.097701,0.009241
2,D,LD,83.083333,89,0.022547–0.028407,0.024799,0.036535,0.008129
2,PH,D,17.500000,30,0.004819–0.005803,0.005303,0.012315,0.006512
